Symbol,Description,Price,Price - Currency,Exchange,Price Change % 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Dividend yield %, Trailing 12 months",Performance % 5 years,Performance % 1 year,Performance % 6 months,Performance % 3 months,Performance % 1 month,Simple Moving Average (21) 1 day,Simple Moving Average (200) 1 day,Simple Moving Average (50) 1 day,Beta 5 years,Beta 1 year,Average True Range (14) 1 day,"Return on equity %, Trailing 12 months","Return on capital employed %, Trailing 12 months",perf_sum,perf_norm,MRAT,Diff,score
PRX,Prosus N.V. Class N,59.43,EUR,EURONEXT,0.9,149639678831.88,USD,12.37,0.17,60.95,52.5,46.98,14.95,2.73,59.8,47.17,56.5,0.67,1.55,1.16,27.33,0.26,114.43,1.11,1.27,1.26,2.38
DNTL,dentalcorp Holdings Ltd.,10.91,CAD,TSX,0.09,1550300998.97,USD,,0.46,-22.02,19.89,37.58,34.03,27.9,10.77,8.39,9.26,1.25,0.75,0.11,-2.58,2.84,91.5,1.09,1.28,1.3,2.38
COIN,"Coinbase Global, Inc.",348.48,USD,NASDAQ,7.97,89537765391.36,USD,33.71,0.0,-8.54,68.46,69.52,-11.08,7.64,350.03,280.05,329.77,3.68,2.89,18.28,27.96,,126.89,1.13,1.25,1.24,2.38
NVDA,NVIDIA Corporation,185.4,USD,NASDAQ,1.78,4505098590569.37,USD,52.77,0.02,1278.4,31.65,73.51,6.79,3.13,184.32,146.57,179.57,2.12,1.92,5.3,109.42,102.25,111.95,1.11,1.26,1.26,2.37
AGI,Alamos Gold Inc.,44.6,CAD,TSX,0.04,13387930978.98,USD,39.14,0.31,305.45,52.11,17.37,27.5,-4.88,47.49,37.44,44.44,0.53,0.7,1.99,10.32,13.11,96.98,1.1,1.27,1.19,2.37
BKD,Brookdale Senior Living Inc.,8.88,USD,NYSE,1.83,2108915242.84,USD,,0.0,169.91,44.86,42.31,18.56,6.47,8.53,6.73,8.04,0.9,0.06,0.26,-108.91,,105.73,1.11,1.27,1.32,2.37
CEF,Sprott Physical Gold and Silver Trust Units,38.13,USD,AMEX,0.11,7377233110.0,USD,4.68,0.0,100.16,45.7,31.57,22.6,7.44,38.26,30.24,35.26,0.21,0.08,0.97,29.99,,99.88,1.1,1.27,1.26,2.37
ENO,Elecnor S.A.,27.9,EUR,BME,0.54,2729112086.23,USD,,27.74,206.59,45.77,51.8,19.74,16.25,26.08,20.89,24.74,0.64,1.26,0.61,-6.79,-3.0,117.31,1.12,1.25,1.34,2.37
TBBK,"The Bancorp, Inc.",78.61,USD,NASDAQ,4.01,3621200217.2,USD,16.9,0.0,729.22,42.72,62.28,15.91,0.99,75.72,60.39,75.15,1.32,1.42,3.02,27.41,28.03,120.91,1.12,1.25,1.3,2.37
IBP,"Installed Building Products, Inc.",275.69,USD,NYSE,3.14,7533613502.86,USD,30.66,0.55,163.06,20.07,63.53,36.39,7.69,251.07,200.84,259.26,1.85,0.92,8.99,37.03,22.34,119.99,1.12,1.25,1.37,2.37
LR,Legrand SA,147.85,EUR,EURONEXT,1.13,44405625061.76,USD,32.05,1.5,116.41,41.62,53.37,18.76,3.68,144.24,115.06,138.67,0.95,0.97,3.07,17.67,15.04,113.75,1.11,1.25,1.28,2.37
TPB,"Turning Point Brands, Inc.",89.86,USD,NYSE,2.39,1619614956.62,USD,37.57,0.34,184.35,100.57,52.48,14.63,-12.69,90.81,75.52,95.96,0.75,0.67,3.84,26.05,19.7,167.67,1.17,1.2,1.19,2.37
NATL,NCR Atleos Corporation,38.72,USD,NYSE,0.99,2849249579.66,USD,21.97,0.0,115.11,42.98,48.92,45.24,-1.07,38.63,31.21,38.97,0.98,1.15,1.16,44.0,11.53,137.14,1.14,1.24,1.24,2.37
PAAL_B,Per Aarsleff Holding A/S Class B,776.0,DKK,OMXCOP,0.65,2290769874.96,USD,,1.43,197.89,90.2,50.68,8.84,15.3,728.33,597.18,691.38,0.28,0.21,15.17,16.72,14.57,149.71,1.15,1.22,1.3,2.37
NTES,Netease Inc Sponsored ADR,147.36,USD,NASDAQ,0.17,90123840515.64,USD,19.99,1.96,68.55,85.31,39.45,9.05,-3.08,149.7,121.54,145.29,0.67,0.64,3.92,24.36,23.3,133.82,1.13,1.23,1.21,2.37
