Symbol,Description,Price,Price - Currency,Exchange,Price Change % 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Dividend yield %, Trailing 12 months",Performance % 5 years,Performance % 1 year,Performance % 6 months,Performance % 3 months,Performance % 1 month,Simple Moving Average (21) 1 day,Simple Moving Average (200) 1 day,Simple Moving Average (50) 1 day,Beta 5 years,Beta 1 year,Average True Range (14) 1 day,"Return on equity %, Trailing 12 months","Return on capital employed %, Trailing 12 months",perf_sum,perf_norm,MRAT,Diff,score
RGC,Regencell Bioscience Holdings Limited,16.65,USD,NASDAQ,1.83,8233239857.0,USD,,0.0,5172.5,8358.55,760.93,25.85,8.47,17.26,10.42,15.59,1.99,-2.78,1.24,,,9145.34,10.15,1.66,1.6,11.8
RGTI,"Rigetti Computing, Inc.",44.27,USD,NASDAQ,4.12,14350791832.0,USD,,0.0,347.17,3039.72,380.1,215.31,52.13,43.95,16.54,31.08,1.65,2.19,4.84,-48.81,-20.27,3635.13,4.64,2.66,2.68,7.29
QBTS,D-Wave Quantum Inc.,37.06,USD,NYSE,2.63,12675201024.0,USD,,0.0,261.56,3094.83,422.71,124.47,51.95,35.48,15.17,26.62,4.7,1.83,4.12,-83.7,-18.66,3642.01,4.64,2.34,2.44,6.98
NEGG,"Newegg Commerce, Inc.",84.79,USD,NASDAQ,4.68,1644620812.0,USD,,0.0,-6.82,589.13,2308.81,51.68,111.45,55.25,26.49,50.74,3.67,2.1,8.43,,,2949.61,3.95,2.09,3.2,6.04
ABVX,Abivax SA,90.9,EUR,EURONEXT,0.44,8183458514.52,USD,,0.0,369.04,839.05,1311.49,50.75,26.07,80.3,29.54,74.72,1.26,1.21,3.89,,,2201.29,3.2,2.72,3.08,5.92
BE,Bloom Energy Corporation,132.16,USD,NYSE,3.37,31257262570.0,USD,,0.0,844.67,1208.51,667.03,303.67,59.86,106.03,38.98,82.98,3.44,2.07,11.32,2.82,6.07,2179.21,3.18,2.72,3.39,5.9
QURE,uniQure N.V.,67.69,USD,NASDAQ,-0.25,4169959424.0,USD,,0.0,68.3,979.59,343.58,388.03,16.91,62.1,20.54,40.73,0.59,0.76,4.14,-427.47,-30.14,1711.2,2.71,3.02,3.3,5.73
IREN,IREN Limited,60.75,USD,NASDAQ,4.35,16471644775.0,USD,100.3,0.0,116.96,496.17,843.32,297.19,30.34,60.46,19.53,45.36,4.22,2.33,5.73,11.55,1.04,1636.68,2.64,3.1,3.11,5.73
MVST,"Microvast Holdings, Inc.",5.45,USD,NASDAQ,0.37,1773179925.0,USD,,0.0,-46.36,2604.71,185.34,77.52,42.3,5.3,2.93,4.12,3.27,-2.5,0.47,-33.65,8.16,2867.58,3.87,1.81,1.86,5.68
SUPX,SuperX AI Technology Limited,62.88,USD,NASDAQ,6.16,1691067227.0,USD,,0.0,1472.0,1097.71,514.06,212.06,4.8,63.81,22.55,58.83,-4.85,-0.78,7.0,,,1823.84,2.82,2.83,2.79,5.65
ONDS,Ondas Holdings Inc.,6.44,USD,NASDAQ,2.38,2367658120.0,USD,,0.0,-46.33,735.28,695.06,214.15,-16.9,8.53,2.99,7.27,2.16,1.72,0.88,-81.2,-44.5,1644.49,2.64,2.85,2.15,5.49
UAMY,United States Antimony Corporation,8.07,USD,AMEX,-3.24,1120748667.0,USD,,0.0,2023.68,1160.94,140.9,173.56,19.56,11.19,3.91,7.86,-0.01,1.56,1.66,-3.27,-5.17,1475.39,2.48,2.86,2.06,5.34
OPEN,Opendoor Technologies Inc,7.77,USD,NASDAQ,5.86,5718363829.0,USD,,0.0,-60.4,326.9,939.05,297.44,-4.07,7.74,2.8,7.44,3.57,2.09,0.78,-41.33,,1563.39,2.56,2.76,2.77,5.32
BETR,Better Home & Finance Holding Company,73.21,USD,NASDAQ,1.33,1128793099.0,USD,,0.0,-85.0,354.72,388.72,462.72,30.13,66.87,21.56,48.21,1.95,0.89,9.22,-286.59,,1206.16,2.21,3.1,3.4,5.31
CRML,Critical Metals Corp.,12.94,USD,NASDAQ,0.47,1523094776.0,USD,,0.0,32.72,100.0,734.84,257.46,113.88,15.68,4.97,10.34,1.32,-0.02,2.9,-128.3,-87.53,1092.3,2.09,3.16,2.61,5.25
LAES,SEALSQ Corp,7.42,USD,NASDAQ,7.69,1371958021.0,USD,,0.0,-12.71,1846.48,196.21,149.83,99.46,6.13,3.52,4.47,-13.05,-0.43,0.9,-45.62,-39.76,2192.52,3.19,1.74,2.11,4.93
CIFR,Cipher Mining Inc.,18.65,USD,NASDAQ,-2.2,7334783950.0,USD,,0.0,90.31,272.26,482.81,270.63,44.8,18.47,6.62,13.7,2.93,3.78,2.02,-21.39,-18.16,1025.7,2.03,2.79,2.82,4.82
AMPX,"Amprius Technologies, Inc.",14.09,USD,NYSE,14.65,1762318551.0,USD,,0.0,56.38,814.94,534.68,118.45,34.45,12.69,5.58,10.64,2.9,2.2,1.3,-68.88,-43.88,1468.07,2.47,2.27,2.53,4.74
APLD,Applied Digital Corporation,34.66,USD,NASDAQ,2.09,9693912647.0,USD,,0.0,50582.89,405.99,559.56,177.95,51.82,32.77,12.69,24.77,3.62,-0.28,3.13,-32.13,-7.75,1143.49,2.14,2.58,2.73,4.73
YRM,Rosetti Marino S.p.A.,290.0,EUR,MIL,6.62,1274716443.81,USD,32.8,0.69,723.86,550.22,506.69,187.13,23.93,260.52,105.49,207.58,0.23,0.77,15.98,24.41,21.93,1244.05,2.24,2.47,2.75,4.71
BMNR,"BitMine Immersion Technologies, Inc.",46.65,USD,AMEX,4.71,13283229176.0,USD,,0.0,66.13,1066.25,566.45,41.66,-13.88,53.13,26.61,51.51,1.41,14.74,4.1,-95.27,-71.85,1674.36,2.67,2.0,1.75,4.67
CDTX,"Cidara Therapeutics, Inc.",109.24,USD,NASDAQ,0.19,2770113470.0,USD,,0.0,106.89,755.44,398.13,75.68,14.39,103.78,45.31,85.64,1.32,3.26,6.74,-37.05,-42.05,1229.26,2.23,2.29,2.41,4.52
INBX,"Inhibrx Biosciences, Inc.",81.66,USD,NASDAQ,4.01,1182879547.0,USD,,0.0,378.1,400.37,556.43,278.06,143.69,44.84,20.35,35.49,1.11,0.84,6.34,-113.71,-85.09,1234.85,2.23,2.2,4.01,4.44
CELC,Celcuity Inc.,77.16,USD,NASDAQ,-2.28,3273645256.0,USD,,0.0,1241.91,386.51,611.15,100.68,57.21,60.5,25.85,56.28,0.73,0.14,5.29,-134.54,-70.38,1098.34,2.1,2.34,2.98,4.44
BITF,Bitfarms Ltd.,5.6,CAD,TSX,-1.58,2211370975.3,USD,,0.0,1054.64,93.1,294.37,233.33,40.0,6.08,2.22,4.21,4.85,2.77,0.71,-15.48,-17.17,620.8,1.62,2.74,2.53,4.36
NKTR,Nektar Therapeutics,64.93,USD,NASDAQ,3.39,1234875876.0,USD,,0.0,-73.15,246.29,448.77,204.26,13.26,59.42,24.13,51.64,1.2,4.74,4.22,-440.8,-65.91,899.32,1.9,2.46,2.69,4.36
NVTS,Navitas Semiconductor Corporation,13.46,USD,NASDAQ,7.17,2868424058.0,USD,,0.0,21.26,407.92,579.8,91.87,88.78,12.16,5.39,8.8,3.1,0.59,1.43,-32.05,-26.85,1079.6,2.08,2.26,2.5,4.34
NBIS,Nebius Group N.V.,130.82,USD,NASDAQ,5.35,32854262915.0,USD,,0.0,126.61,478.85,430.71,151.72,17.1,121.12,55.19,102.66,1.17,2.69,9.18,4.95,-10.3,1061.28,2.06,2.19,2.37,4.26
OKLO,Oklo Inc.,132.77,USD,NYSE,-3.36,19598073038.0,USD,,0.0,1227.7,475.76,391.74,82.15,17.91,144.05,62.35,115.51,0.72,2.38,15.46,-11.34,-14.45,949.65,1.95,2.31,2.13,4.26
SLDP,"Solid Power, Inc.",6.28,USD,NASDAQ,17.82,1138465932.0,USD,,0.0,-37.2,410.57,465.77,112.88,83.63,5.99,2.64,4.86,2.35,0.07,0.66,-22.6,-23.97,989.22,1.99,2.27,2.38,4.26
UUUU,Energy Fuels Inc,20.51,USD,AMEX,-6.0,4731142488.0,USD,,0.0,1240.52,225.56,344.9,136.29,36.73,20.82,8.43,16.62,1.78,0.67,2.52,-18.27,-16.15,706.75,1.71,2.47,2.43,4.18
PRAX,"Praxis Precision Medicines, Inc.",198.76,USD,NASDAQ,-1.11,4808284911.0,USD,,0.0,-61.66,182.45,412.8,269.44,276.87,129.38,56.92,81.13,2.85,2.38,14.5,-60.98,-65.87,864.69,1.86,2.27,3.49,4.14
GRGD,Groupe Dynamite Inc.,68.11,CAD,TSX,-4.49,4507732540.3,USD,,0.0,225.89,225.89,404.52,101.15,14.84,67.38,28.78,56.1,5.06,1.94,2.9,,,731.56,1.73,2.34,2.37,4.07
EOSE,"Eos Energy Enterprises, Inc.",16.03,USD,NASDAQ,11.94,4475793102.0,USD,,0.0,52.67,374.26,205.92,193.05,40.99,15.15,6.65,11.35,3.74,0.64,1.59,,-97.13,773.23,1.77,2.28,2.41,4.05
AII,Almonty Industries Inc.,9.97,CAD,TSX,5.28,1547830160.74,USD,,0.0,955.03,681.96,181.64,91.36,20.7,10.7,5.12,8.39,1.36,1.53,1.06,-355.57,-8.67,954.96,1.95,2.09,1.95,4.05
PL,Planet Labs PBC,13.45,USD,NYSE,4.59,4141564256.0,USD,,0.0,37.24,477.25,290.99,124.17,4.75,14.03,6.58,11.5,2.0,2.24,0.9,-19.9,-15.61,892.41,1.89,2.13,2.04,4.02
LEU,Centrus Energy Corp.,367.46,USD,AMEX,-4.14,6690653370.0,USD,60.37,0.0,3700.0,260.25,407.33,82.62,20.88,375.3,168.64,300.84,1.57,1.44,37.83,48.11,16.52,750.2,1.75,2.23,2.18,3.98
WULF,TeraWulf Inc.,15.5,USD,NASDAQ,4.59,6323134369.0,USD,,0.0,244.44,132.38,371.12,212.5,34.43,13.75,6.14,11.78,3.58,2.92,1.33,-46.99,-21.57,716.01,1.72,2.24,2.53,3.96
QS,QuantumScape Corporation,18.44,USD,NYSE,16.78,11088159340.0,USD,,0.0,54.57,246.62,366.84,124.88,49.92,15.87,7.47,12.65,4.84,2.37,1.63,-38.65,-39.17,738.33,1.74,2.12,2.47,3.86
GRAL,"GRAIL, Inc.",91.93,USD,NASDAQ,0.86,3313874446.0,USD,,0.0,559.0,575.96,178.07,180.53,56.37,78.42,40.76,56.99,4.34,3.04,7.7,-17.68,-20.18,934.56,1.93,1.92,2.26,3.86
VSAT,"ViaSat, Inc.",39.82,USD,NASDAQ,2.18,5346347170.0,USD,,0.0,18.51,288.87,325.43,151.87,42.42,36.21,17.39,32.76,1.24,1.54,2.14,-12.48,0.41,766.16,1.77,2.08,2.29,3.85
TDUP,ThredUp Inc.,8.79,USD,NASDAQ,1.97,1082584157.0,USD,,0.0,-51.84,1317.74,105.85,8.52,-6.79,9.05,6.51,9.9,1.7,3.32,0.45,-58.93,-24.78,1432.12,2.43,1.39,1.35,3.82
METC,"Ramaco Resources, Inc.",30.36,USD,NASDAQ,2.39,1833826255.0,USD,,0.0,969.01,202.69,200.59,64.11,-9.18,40.65,17.44,33.32,-0.53,-0.06,4.31,-7.4,-5.33,467.39,1.47,2.33,1.74,3.8
QUBT,Quantum Computing Inc.,16.71,USD,NASDAQ,11.62,3122637733.0,USD,,0.0,366.11,1226.19,135.35,17.68,-8.89,18.52,13.1,17.88,3.82,1.4,1.92,-32.63,-13.25,1379.22,2.38,1.41,1.28,3.79
JMIA,Jumia Technologies AG Sponsored ADR,10.91,USD,NYSE,0.74,1336069402.0,USD,,0.0,-34.59,128.72,339.92,144.07,-5.05,11.52,5.34,10.72,3.0,2.03,0.72,-176.48,-156.53,612.71,1.61,2.16,2.04,3.77
ATAI,ATAI Life Sciences N.V.,5.84,USD,NASDAQ,1.04,1524608961.0,USD,,0.0,-72.19,440.74,289.33,46.0,10.61,5.74,2.94,5.22,1.6,1.15,0.42,,,776.07,1.78,1.95,1.98,3.73
MLYS,"Mineralys Therapeutics, Inc.",40.86,USD,NASDAQ,-0.63,3169497765.0,USD,,0.0,93.65,203.12,168.99,188.36,6.96,41.05,19.07,36.15,0.4,0.92,2.17,-63.21,-67.28,560.46,1.56,2.15,2.14,3.71
STOK,"Stoke Therapeutics, Inc.",30.04,USD,NASDAQ,-5.24,1646114447.0,USD,35.55,0.0,-22.01,142.85,200.7,139.94,27.83,31.55,14.34,26.01,1.32,1.92,2.14,18.17,13.23,483.48,1.48,2.2,2.1,3.68
HUT,Hut 8 Corp.,50.66,USD,NASDAQ,4.3,5346045064.16,USD,36.13,0.0,1033.33,180.98,267.9,155.15,43.68,46.82,22.5,37.93,4.7,2.66,4.57,15.87,-5.9,604.03,1.6,2.08,2.25,3.68
FLNC,"Fluence Energy, Inc.",21.0,USD,NASDAQ,2.59,3832629854.0,USD,,0.0,-37.31,-0.66,381.65,166.16,90.91,17.31,8.22,12.3,2.88,1.84,2.01,-4.45,-3.15,547.15,1.55,2.11,2.56,3.65
TMC,TMC the metals company Inc.,7.07,USD,NASDAQ,-0.7,2873197970.0,USD,,0.0,-28.0,636.46,124.44,22.96,11.34,8.21,4.49,6.75,1.71,-0.13,0.65,-364.03,-108.15,783.86,1.78,1.83,1.57,3.61
SATS,EchoStar Corporation,74.87,USD,NASDAQ,2.34,21541330256.0,USD,,0.0,221.47,194.88,221.05,154.27,-0.85,74.45,37.02,70.86,0.94,1.34,2.59,-1.6,-1.02,570.21,1.57,2.01,2.02,3.58
CLS,Celestica Inc.,482.87,CAD,TSX,1.47,39694407130.54,USD,56.35,0.0,6020.03,402.88,283.38,85.45,43.69,388.73,216.75,349.19,1.54,2.68,26.7,37.8,32.5,771.72,1.77,1.79,2.23,3.57
HIVE,HIVE Digital Technologies Ltd,7.3,CAD,TSXV,-1.75,1207764306.15,USD,,0.0,210.64,25.86,193.17,155.24,28.07,8.04,3.7,6.04,5.57,2.41,0.75,-6.36,-17.85,374.28,1.37,2.17,1.97,3.55
ASTS,"AST SpaceMobile, Inc.",80.25,USD,NASDAQ,4.66,29172368040.0,USD,,0.0,698.51,221.77,229.64,57.66,49.97,80.55,40.14,60.85,2.45,0.82,6.63,-69.7,-22.68,509.07,1.51,2.01,2.0,3.52
RKLB,Rocket Lab Corporation,62.98,USD,NASDAQ,3.38,30479842324.0,USD,,0.0,545.95,477.27,181.41,45.8,32.93,64.24,35.35,54.8,2.17,1.97,4.36,-40.45,-21.18,704.48,1.7,1.82,1.78,3.52
OUST,"Ouster, Inc.",33.36,USD,NASDAQ,3.19,1928849901.0,USD,,0.0,-65.38,380.0,332.12,48.93,24.15,32.39,18.77,30.82,2.52,1.23,3.28,-46.96,-44.01,761.05,1.76,1.73,1.78,3.49
