Symbole,Description,Prix,Prix - Devise,Marché,Changement de prix % 1 jour,Capitalisation boursière,Capitalisation boursière - Devise,Ratio cours/bénéfice,"Rendement du dividende %, 12 mois écoulés",Performance % 5 années,Performance % 1 année,Performance % 6 mois,Performance % 3 mois,Performance % 1 mois,Moyenne mobile simple (21) 1 jour,Moyenne mobile simple (200) 1 jour,Moyenne mobile simple (50) 1 jour,Beta 5 années,Beta 1 année,Moyenne de la vraie amplitude (14) 1 jour,"Rendement des fonds propres %, 12 mois écoulés","Rendement des capitaux employés %, 12 mois écoulés",perf_sum,perf_norm,MRAT,Diff,score
MP,MP Materials Corp.,69.46,USD,NYSE,2.32,12300362789,USD,,0,485.13,452.11,187.12,251.49,13.34,68.91,30.16,54.05,2.3,0.22,4.45,-9.57,-6.69,890.72,1.89,2.28,2.3,4.18
JOBY,"Joby Aviation, Inc.",14.3,USD,NYSE,-4.35,12240535385,USD,,0,31.19,183.17,114.71,110.6,-18.66,16.84,8.96,14.12,2.52,1.96,1.2,-88.93,-57.05,408.49,1.41,1.88,1.6,3.29
OKLO,Oklo Inc.,68.28,USD,NYSE,-2.99,10078400967,USD,,0,582.78,882.41,103.66,37.88,-4.79,73.7,39.54,65.89,0.62,2.55,5.89,-11.34,-14.45,1023.95,2.02,1.86,1.73,3.89
QNBTR,QNB BANK,714.5,TRY,BIST,-9.96,57469739938,USD,58.9,0,897.91,182.41,179.92,171.42,96.83,574.57,309.54,396.95,0.89,-0.26,52.69,34.13,10.77,533.75,1.53,1.86,2.31,3.39
HOOD,"Robinhood Markets, Inc.",106.24,USD,NASDAQ,-2.82,94412843538,USD,53.96,0,179.58,429.56,123.62,63.55,4.62,108.26,60.07,99.02,2.37,3.11,6,23.54,,616.72,1.62,1.8,1.77,3.42
KTOS,"Kratos Defense & Security Solutions, Inc.",67.49,USD,NASDAQ,1.17,11391940286,USD,724.14,0,246.46,210.16,174.8,82.21,14.99,63.22,36.76,54.61,1.05,1.42,3.44,0.88,1.21,467.16,1.47,1.72,1.84,3.19
NBIS,Nebius Group N.V.,68.27,USD,NASDAQ,-1.03,16270831538,USD,,0,3.96,185.18,93.95,72.53,29.99,63.16,36.68,55.63,1.12,2.35,4.57,4.95,-10.3,351.67,1.35,1.72,1.86,3.07
BE,Bloom Energy Corporation,48.53,USD,NYSE,-0.02,11355921726,USD,10325.53,0,194.48,328.71,114.26,145.97,44.65,40.8,24.13,31.4,3.29,1.85,2.91,4.65,5.36,588.94,1.59,1.69,2.01,3.28
CRDO,Credo Technology Group Holding Ltd,113.62,USD,NASDAQ,-0.37,19501944932,USD,407.68,0,839.01,218.17,92.54,77.53,13.45,114.46,68.7,101.82,2.59,3.12,6.69,8.54,6.04,388.25,1.39,1.67,1.65,3.05
SYM,Symbotic Inc.,44.52,USD,NASDAQ,-3.69,26291713957,USD,,0,330.19,97.36,84.14,49.97,-14.64,52.04,31.33,46.99,2.07,2.54,3.86,-4.09,-9,231.47,1.23,1.66,1.42,2.89
ZEG,ZEGONA COMMUNICATIONS PLC ORD GBP0.01,1155,GBX,LSE,3.12,11857272084,USD,,0,950,228.12,107.96,59.53,45.47,1000.86,607.57,848.76,1.72,1.49,43.08,,,395.61,1.4,1.65,1.9,3.04
CLS,CELESTICA INC,259.98,CAD,TSX,-0.55,21732923018,USD,40.54,0,2354.96,258.64,70.96,51.93,15.5,268.29,163.98,233.15,1.68,2.88,12.45,30.86,31,381.53,1.38,1.64,1.59,3.02
ALAB,"Astera Labs, Inc.",177.05,USD,NASDAQ,-1.14,29429099327,USD,310.45,0,236.85,348.34,115.76,82.06,46.8,163.92,100.55,125.5,1.41,2.56,10.89,10.11,4.2,546.15,1.55,1.63,1.76,3.18
RBLX,Roblox Corporation,123.78,USD,NYSE,5.33,85810113687,USD,,0,91.91,183.9,104.6,48.77,4.39,124.76,77.2,115.55,1.64,1.06,6.59,-401.21,-31.63,337.27,1.34,1.62,1.6,2.95
RKLB,Rocket Lab Corporation,44.58,USD,NASDAQ,0.45,21505985412,USD,,0,357.23,537.77,105.44,67.59,-6.93,44,27.6,40.87,2.18,2.36,2.98,-40.45,-21.18,710.8,1.71,1.59,1.62,3.31
ASTS,"AST SpaceMobile, Inc.",48.19,USD,NASDAQ,2.37,17275408976,USD,,0,379.94,39.31,73.96,94.85,-14.34,49.43,31.05,49.25,2.32,1.22,3.36,-69.7,-22.68,208.11,1.21,1.59,1.55,2.8
PLTR,Palantir Technologies Inc.,149.91,USD,NASDAQ,-5.56,3.55638E+11,USD,498.21,0,1399.1,368.62,65.37,18.21,-3.68,168.23,106.89,153.87,2.6,2.41,7.95,15.3,10.68,452.19,1.45,1.57,1.4,3.03
FRES,FRESNILLO PLC ORD USD0.50,1689,GBX,LSE,1.08,16829659270,USD,35.36,1.46,37.88,208.49,118.36,51.62,15.53,1589.62,1012.79,1513.2,0.13,0.75,60.41,12.14,28.62,378.47,1.38,1.57,1.67,2.95
BBD.A,BOMBARDIER INC,163.01,CAD,TSX,-0.89,11913294667,USD,26.2,0,1107.48,81.81,79.94,78.86,1.73,164.38,105.23,149.44,3.06,1.49,4,,14.41,240.61,1.24,1.56,1.55,2.8
ASELS,ASELSAN,180.3,TRY,BIST,-0.66,19871636400,USD,47.17,0.06,1984.39,221.68,118.02,32.77,-1.53,179.05,115.6,165,0.96,0.66,5.33,12.4,18.79,372.46,1.37,1.55,1.56,2.92
GEV,GE Vernova Inc.,608.44,USD,NYSE,0.23,1.65633E+11,USD,145.59,0.12,429.08,236.53,98.02,29.01,-3.42,636.57,416.16,578.1,1.56,1.61,21.43,12.88,5.08,363.56,1.36,1.53,1.46,2.89
TLN,Talen Energy Corporation,358.1,USD,NASDAQ,0.56,16359911700,USD,102.24,0,672.18,148.68,69.7,44.98,5.4,372.35,244.54,325.47,1.59,1.6,13.82,9.95,26.45,263.36,1.26,1.52,1.46,2.79
FUTU,Futu Holdings Limited,194.39,USD,NASDAQ,1.97,29969061556,USD,26.92,0,497.76,208.8,74.54,74.73,19.85,165.65,110.1,148.37,0.49,1.3,8.2,26.43,,358.07,1.36,1.5,1.77,2.86
CELH,"Celsius Holdings, Inc.",60.2,USD,NASDAQ,-2.15,15528357531,USD,165.98,0,747.09,50.78,91.9,64.12,29.1,52.85,35.29,48.29,1.4,0.52,2.19,7.91,8.72,206.81,1.21,1.5,1.71,2.7
CBK,COMMERZBANK AG,36.29,EUR,XETR,-0.47,48157387378,USD,15.74,1.78,662.56,179.05,77.02,36.84,20.44,34.5,23.14,30.92,0.97,0.85,1.21,9.11,0.77,292.91,1.29,1.49,1.57,2.78
FNMA,Fannie Mae,11.1,USD,OTC,0.5,12860563853,USD,,0,397.98,781.35,64.52,1.05,29.88,9.85,6.65,9.48,2.04,0.3,0.66,16.11,,846.91,1.85,1.48,1.67,3.33
FIX,"Comfort Systems USA, Inc.",694.51,USD,NYSE,0.73,24503320658,USD,35.69,0.22,1247.26,104.27,94.72,43.66,4.39,693.95,468.31,601.04,1.49,2.21,23.38,40.09,44.1,242.65,1.24,1.48,1.48,2.72
COOP,Mr. Cooper Group Inc.,194.13,USD,NASDAQ,-2.44,12423013408,USD,22.2,0,943.71,113.96,75.7,49.15,23.7,182.1,122.81,163.94,0.98,-0.2,8.94,11.76,,238.81,1.24,1.48,1.58,2.72
ALNY,"Alnylam Pharmaceuticals, Inc.",456.37,USD,NASDAQ,0.44,59820528441,USD,,0,249.31,64.04,81.46,54.47,37.67,422.41,285.19,363.05,0.25,1.19,13.03,-257.82,-5.79,199.97,1.2,1.48,1.6,2.68
SOFI,"SoFi Technologies, Inc.",24.9,USD,NASDAQ,-0.46,29521196599,USD,50.23,0,126.4,245.41,76.5,85.71,15.73,22.75,15.59,20.42,1.94,2.45,1.27,8.8,,407.63,1.41,1.46,1.6,2.87
LUG,LUNDIN GOLD INC,80.14,CAD,TSX,0.75,13868907578,USD,22.62,2.01,614.9,194.52,97.49,23.9,27.27,73.79,50.63,71.54,0.91,1.29,2.71,53.36,70.76,315.91,1.32,1.46,1.58,2.77
U,Unity Software Inc.,38.75,USD,NYSE,-1.05,16372567915,USD,,0,-48.33,127.14,43.78,83.3,15.16,35.3,24.56,31.16,2.32,2.34,2.26,-13.62,-7.79,254.23,1.25,1.44,1.58,2.69
AU,AngloGold Ashanti PLC,55.03,USD,NYSE,0.77,27497613550,USD,23.62,1.67,97.38,76.95,74.31,28.39,12.56,53.73,37.38,50.28,0.47,0.66,1.79,,16.67,179.65,1.18,1.44,1.47,2.62
INSM,Insmed Incorporated,131.98,USD,NASDAQ,0.08,27897245338,USD,,0,368.35,66.87,62.38,94.09,26.99,117.84,82.12,108.12,0.95,0.96,3.49,-160.54,-53.71,223.34,1.22,1.43,1.61,2.66
WDC,Western Digital Corporation,77.32,USD,NASDAQ,0.45,26824018678,USD,15.05,0.13,195.65,59.26,58.74,51.4,11.65,75.11,52.65,68.86,1.59,2.03,2.03,25.98,21.47,169.4,1.17,1.43,1.47,2.6
ENR,SIEMENS ENERGY AG,91.7,EUR,XETR,-1.29,85991948971,USD,84.86,0,316.63,268.57,69.19,10.03,-5.31,97.03,68.55,94.33,1.83,1.23,3.6,9.61,7.43,347.79,1.35,1.42,1.34,2.76
STX,Seagate Technology Holdings PLC,160.04,USD,NASDAQ,0.52,34035792304,USD,23.63,1.8,252.27,53.38,60.04,40.54,5.01,154.19,108.83,147.81,1.52,1.83,4.87,,38.24,153.96,1.15,1.42,1.47,2.57
NET,"Cloudflare, Inc.",194.5,USD,NYSE,-0.85,67779670836,USD,,0,415.92,139.59,32.58,21.56,1.35,201.4,143.35,193.68,1.84,1.83,7.47,-11.04,-5.17,193.74,1.19,1.4,1.36,2.6
RDDT,"Reddit, Inc.",217.28,USD,NYSE,-0.01,40665296333,USD,183.41,0,362.3,284.5,32.49,110.95,44.91,207,149.16,170.48,2.33,2.06,12.04,10.11,6.06,427.94,1.43,1.39,1.46,2.82
GLE,SOCIETE GENERALE,58.02,EUR,EURONEXT,0.31,46692672355,USD,9.2,1.88,321.6,171.63,48.96,19.55,14.03,56.31,40.44,52.17,1.59,1.21,1.08,7.47,-0.19,240.14,1.24,1.39,1.43,2.63
SAAB_B,SAAB AB SER. B,532.4,SEK,OMXSTO,2.74,29073056116,USD,55.32,0.35,671.59,124.78,71.19,12.13,0.04,517.8,372.97,507.75,-0.06,0.55,21.68,14.05,12.12,208.1,1.21,1.39,1.43,2.6
RR.,ROLLS ROYCE HOLDINGS ORD GBP0.20,1043,GBX,LSE,0.24,1.18957E+11,USD,15.27,0.58,1068.52,111.22,70.48,24.2,5.61,1055.7,760.77,996.08,1.63,1.33,26.97,9979.31,16.22,205.9,1.21,1.39,1.37,2.59
DBK,DEUTSCHE BANK AG NA O.N.,31.94,EUR,XETR,0.76,72286408049,USD,10.57,2.15,291.42,118.32,56.68,30.45,11.15,30.35,21.95,27.46,0.99,1.38,0.61,9.5,0.73,205.45,1.21,1.38,1.45,2.59
TPEIR,PIRAEUS FINANCIAL HOLDINGS(CR),7.09,EUR,ATHEX,-0.59,10449139140,USD,8.32,4.19,-64.76,83.4,54.89,22.73,5.44,7.01,5.07,6.51,2.05,1.92,0.17,14.23,4.96,161.03,1.16,1.38,1.4,2.54
AMD,"Advanced Micro Devices, Inc.",162.13,USD,NASDAQ,-3.36,2.63112E+11,USD,93.32,0,86.42,5.55,50.28,43.26,-0.84,172.84,124.93,155.75,1.94,1.91,7.1,4.7,3.91,99.09,1.1,1.38,1.3,2.48
