Symbol,Description,Price,Price - Currency,Exchange,Price Change % 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Dividend yield %, Trailing 12 months",Performance % 5 years,Performance % 1 year,Performance % 6 months,Performance % 3 months,Performance % 1 month,Simple Moving Average (21) 1 day,Simple Moving Average (200) 1 day,Simple Moving Average (50) 1 day,Beta 5 years,Beta 1 year,Average True Range (14) 1 day,"Return on equity %, Trailing 12 months","Return on capital employed %, Trailing 12 months",perf_sum,perf_norm,MRAT,Diff,score
RGC,Regencell Bioscience Holdings Limited,16.47,USD,NASDAQ,0.73,8144232234.37,USD,,0.0,5115.5,8267.11,751.63,24.49,7.3,17.25,10.42,15.59,2.04,-2.75,1.23,,,9043.22,10.04,1.66,1.58,11.7
RGTI,"Rigetti Computing, Inc.",42.82,USD,NASDAQ,0.71,13880752349.39,USD,,0.0,332.53,2936.88,364.37,204.99,47.15,43.88,16.53,31.05,1.61,2.19,4.79,-48.81,-20.27,3506.24,4.51,2.65,2.59,7.16
QBTS,D-Wave Quantum Inc.,36.19,USD,NYSE,0.23,12378670841.66,USD,,0.0,253.1,3020.09,410.48,119.22,48.39,35.44,15.16,26.61,1.48,1.83,4.06,-83.7,-18.66,3549.78,4.55,2.34,2.39,6.89
NEGG,"Newegg Commerce, Inc.",85.78,USD,NASDAQ,5.9,1663726249.18,USD,,0.0,-5.74,597.13,2336.79,53.44,113.9,55.3,26.5,50.76,3.46,2.07,8.43,,,2987.36,3.99,2.09,3.24,6.07
ABVX,Abivax SA,91.2,EUR,EURONEXT,0.77,8147447558.22,USD,,0.0,370.59,842.15,1316.15,51.24,26.49,80.31,29.54,74.72,1.29,1.24,3.87,,,2209.54,3.21,2.72,3.09,5.93
BE,Bloom Energy Corporation,126.88,USD,NYSE,-0.76,30007301993.24,USD,,0.0,806.9,1156.19,636.36,287.52,53.47,105.78,38.95,82.87,3.48,2.05,11.11,2.82,6.07,2080.07,3.08,2.72,3.26,5.8
IREN,IREN Limited,62.14,USD,NASDAQ,6.73,16848527205.8,USD,102.59,0.0,121.93,509.81,864.91,306.28,33.32,60.53,19.54,45.38,4.2,2.34,5.73,11.55,1.04,1681.0,2.68,3.1,3.18,5.78
QURE,uniQure N.V.,67.91,USD,NASDAQ,0.07,4183512140.59,USD,,0.0,68.85,983.09,345.02,389.62,17.29,62.11,20.54,40.74,0.56,0.76,4.08,-427.47,-30.14,1717.73,2.72,3.02,3.31,5.74
MVST,"Microvast Holdings, Inc.",5.4,USD,NASDAQ,-0.64,1755285453.95,USD,,0.0,-46.9,2577.42,182.46,75.73,40.86,5.3,2.93,4.11,3.23,-2.48,0.45,-33.65,8.16,2835.61,3.84,1.81,1.84,5.64
SUPX,SuperX AI Technology Limited,58.2,USD,NASDAQ,-1.74,1565205315.02,USD,,0.0,1355.0,1008.57,468.36,188.83,-3.0,63.59,22.52,58.74,-4.77,-0.78,6.95,,,1665.76,2.67,2.82,2.58,5.49
ONDS,Ondas Holdings Inc.,6.36,USD,NASDAQ,1.11,2338246182.96,USD,,0.0,-47.0,724.9,685.19,210.24,-17.94,8.53,2.99,7.27,2.17,1.74,0.88,-81.2,-44.5,1620.33,2.62,2.85,2.12,5.47
BETR,Better Home & Finance Holding Company,74.12,USD,NASDAQ,2.58,1142777751.07,USD,,0.0,-84.81,360.35,394.77,469.69,31.74,66.92,21.56,48.23,1.93,0.91,9.08,-286.59,,1224.82,2.22,3.1,3.44,5.33
UAMY,United States Antimony Corporation,8.05,USD,AMEX,-3.48,1117971162.47,USD,,0.0,2018.42,1157.81,140.3,172.88,19.26,11.19,3.91,7.86,-0.1,1.61,1.66,-3.27,-5.17,1470.99,2.47,2.86,2.06,5.33
OPEN,Opendoor Technologies Inc,7.78,USD,NASDAQ,5.99,5725723504.29,USD,,0.0,-60.35,327.45,940.39,297.95,-3.95,7.74,2.8,7.44,3.6,2.11,0.78,-41.33,,1565.79,2.57,2.76,2.77,5.33
CRML,Critical Metals Corp.,12.66,USD,NASDAQ,-1.75,1489549087.68,USD,,0.0,29.79,95.6,716.45,249.59,109.17,15.67,4.97,10.33,1.2,0.0,2.89,-128.3,-87.53,1061.63,2.06,3.15,2.55,5.22
CIFR,Cipher Mining Inc.,20.15,USD,NASDAQ,5.66,7924712989.81,USD,,0.0,105.61,302.2,529.69,300.44,56.44,18.54,6.63,13.73,2.89,3.8,1.98,-21.39,-18.16,1132.32,2.13,2.8,3.04,4.93
APLD,Applied Digital Corporation,35.92,USD,NASDAQ,5.79,10045114478.74,USD,,0.0,52419.08,424.32,583.46,188.02,57.32,32.83,12.7,24.79,6.6,2.95,3.1,-32.13,-7.75,1195.79,2.2,2.59,2.83,4.78
LAES,SEALSQ Corp,6.94,USD,NASDAQ,0.8,1284130481.86,USD,,0.0,-18.29,1721.88,177.25,133.84,86.69,6.1,3.52,4.46,-13.14,-0.43,0.87,-45.62,-39.76,2032.96,3.03,1.73,1.97,4.77
