Symbol,Description,Price,Price - Currency,Exchange,Price Change % 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Dividend yield %, Trailing 12 months",Performance % 5 years,Performance % 1 year,Performance % 6 months,Performance % 3 months,Performance % 1 month,Simple Moving Average (21) 1 day,Simple Moving Average (200) 1 day,Simple Moving Average (50) 1 day,Beta 5 years,Beta 1 year,Average True Range (14) 1 day,"Return on equity %, Trailing 12 months","Return on capital employed %, Trailing 12 months",perf_sum,perf_norm,MRAT,Diff,score
RGC,Regencell Bioscience Holdings Limited,13.14,USD,NASDAQ,-3.95,6497584181,USD,,0,4061,7838.31,16.12,2.1,-22.71,15.27,11.02,15.59,1.99,-1.77,1.24,-54.81,-56.54,7856.53,8.86,1.39,1.19,10.24
PROCF,"Procaps Group, S.A.",1.27,USD,OTC,4980,2925908804,USD,,0,-87.29,-19.11,1.6,4980,-9.29,0.87,1.54,0.95,56.28,-36.15,0.71,,,4962.49,5.96,0.56,0.83,6.53
ABVX,Abivax SA,89.4,EUR,EURONEXT,-1.54,8191769768,USD,,0,348.35,816.92,1599.62,49.5,8.5,84.54,33.24,78.21,1.26,1.23,4.3,,,2466.04,3.47,2.54,2.69,6.01
OPEN,Opendoor Technologies Inc,8.74,USD,NASDAQ,-6.77,6751501096,USD,,0,-55.47,385.33,1104.95,156.18,24.44,7.56,3.09,7.96,3.57,2.42,0.87,-39.33,,1646.46,2.65,2.45,2.83,5.1
DGNX,Diginex Limited,13.12,USD,NASDAQ,-6.29,2649585362,USD,,0,2363.85,2363.85,10.48,92.55,-43.96,16.55,10.2,16.19,-5.37,-0.6,3.05,,,2466.89,3.47,1.62,1.29,5.09
BE,Bloom Energy Corporation,103.84,USD,NYSE,-18.06,24558094736,USD,,0,464.32,657.37,419.18,125.19,-3.48,121.12,43.78,97.31,3.44,1.81,13.39,2.82,6.07,1201.73,2.2,2.77,2.37,4.97
YRM,Rosetti Marino S.p.A.,362,EUR,MIL,-3.72,1656236363,USD,40.94,0.53,928.41,693.86,624,178.46,20.67,288.43,119.32,245.6,0.23,0.68,15.43,24.41,21.93,1496.32,2.5,2.42,3.03,4.91
RGTI,"Rigetti Computing, Inc.",25.54,USD,NASDAQ,-9.75,8428865396,USD,,0,157.98,1591.39,111.95,43.52,-53.43,37.8,17.46,34.27,1.65,2.3,4.16,-141.9,-21.36,1746.86,2.75,2.16,1.46,4.91
INBX,"Inhibrx Biosciences, Inc.",77.71,USD,NASDAQ,5.99,1125662076,USD,,0,291.09,365.05,545.97,224.06,128.49,64.12,23.34,44.94,1.11,0.94,6.28,-113.71,-85.09,1135.08,2.14,2.75,3.33,4.88
NEGG,"Newegg Commerce, Inc.",78,USD,NASDAQ,-15,1512919271,USD,,0,1.56,501.48,958.34,-33.26,62.5,71.44,30,56.04,3.67,2.23,9.6,,,1426.56,2.43,2.38,2.6,4.81
