Symbol,Description,Price,Price - Currency,Exchange,Price Change % 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Dividend yield %, Trailing 12 months",Performance % 5 years,Performance % 1 year,Performance % 6 months,Performance % 3 months,Performance % 1 month,Simple Moving Average (21) 1 day,Simple Moving Average (200) 1 day,Simple Moving Average (50) 1 day,Beta 5 years,Beta 1 year,Average True Range (14) 1 day,"Return on equity %, Trailing 12 months","Return on capital employed %, Trailing 12 months",perf_sum,perf_norm,MRAT,Diff,score
QMMM,QMMM Holdings Limited,119.4,USD,NASDAQ,19.4,2054437354.2,USD,,0.0,3880.0,1825.81,10754.55,9155.81,2413.68,70.56,8.59,31.3,-1.36,3.21,27.15,-197.3,-194.81,21736.17,22.74,8.22,13.9,30.95
RGC,Regencell Bioscience Holdings Limited,15.15,USD,NASDAQ,0.33,7491506897.21,USD,,0.0,4697.5,9608.26,2109.13,-3.5,1.81,14.31,8.38,13.88,2.14,-2.65,1.05,-48.45,-49.04,11713.89,12.71,1.71,1.81,14.42
TERA,Tera Yatirim Menkul Degerler AS,661.0,TRY,BIST,0.3,2454692625.0,USD,5.66,0.0,17927.29,3349.9,1090.99,157.2,-4.34,646.05,231.27,568.18,-0.31,1.03,31.61,182.96,,4598.09,5.6,2.79,2.86,8.39
OPEN,Opendoor Technologies Inc,8.3,USD,NASDAQ,-5.79,6108346244.8,USD,,0.0,-52.52,287.85,753.28,1451.09,83.63,7.76,2.08,4.95,3.11,2.13,1.11,-41.33,,2492.22,3.49,3.74,4.0,7.23
ABVX,Abivax SA,71.5,EUR,EURONEXT,1.71,6216262617.83,USD,,0.0,282.35,602.36,1185.97,983.33,2.14,71.33,20.85,64.58,1.32,1.99,3.22,,-100.71,2771.66,3.77,3.42,3.43,7.19
RGTI,"Rigetti Computing, Inc.",30.86,USD,NASDAQ,-1.04,10002116144.6,USD,,0.0,211.67,3811.64,306.52,165.19,85.87,21.94,12.87,18.27,1.45,2.41,2.42,-48.81,-20.27,4283.35,5.28,1.7,2.4,6.99
ISATR,Turkiye Is Bankasi Anonim Sirketi Class A,4950000.0,TRY,BIST,-10.0,9125459731.99,USD,53513513.51,0.0,1361.1,-10.0,-10.0,-10.0,-10.0,3519101.79,606352.78,1819069.69,0.03,0.0,264024.58,14.32,3.57,-30.0,0.97,5.8,8.16,6.77
SUPX,Super X AI Technology Limited,52.19,USD,NASDAQ,7.9,1403574986.82,USD,,0.0,1204.75,987.29,449.37,417.24,6.92,54.52,15.31,38.61,-4.89,-1.09,7.13,,,1853.9,2.85,3.56,3.41,6.41
HEDEF,Hedef Holding AS,50.6,TRY,BIST,1.32,2302465299.04,USD,,0.0,14609.3,1337.5,699.37,372.9,189.64,29.72,10.07,20.17,0.87,0.9,3.37,-26.28,,2409.77,3.41,2.95,5.03,6.36
ONDS,Ondas Holdings Inc.,8.43,USD,NASDAQ,9.99,2703925637.27,USD,,0.0,-29.79,1086.62,710.1,345.77,40.42,6.46,2.22,4.63,2.09,1.86,0.67,-81.2,-44.5,2142.48,3.14,2.91,3.8,6.05
