Symbol,Description,Price,Price - Currency,Exchange,Price Change % 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Dividend yield %, Trailing 12 months",Performance % 5 years,Performance % 1 year,Performance % 6 months,Performance % 3 months,Performance % 1 month,Simple Moving Average (21) 1 day,Simple Moving Average (200) 1 day,Simple Moving Average (50) 1 day,Beta 5 years,Beta 1 year,Average True Range (14) 1 day,"Return on equity %, Trailing 12 months","Return on capital employed %, Trailing 12 months",perf_sum,perf_norm,MRAT,Diff,score
RGC,Regencell Bioscience Holdings Limited,17.41,USD,NASDAQ,-3.01,8609051527.0,USD,,0.0,5413.16,13711.69,2231.97,11.6,19.25,16.8,9.61,14.93,2.04,-2.52,1.42,,,15955.26,16.96,1.75,1.81,18.7
RGTI,"Rigetti Computing, Inc.",46.38,USD,NASDAQ,-3.31,15034780520.0,USD,,0.0,368.48,4834.04,459.47,177.56,131.09,39.51,15.22,26.26,1.61,2.38,5.06,-48.81,-20.27,5471.07,6.47,2.6,3.05,9.07
HEDEF,Hedef Holding AS,73.05,TRY,BIST,4.36,3340886092.46,USD,,0.0,21135.47,2367.91,760.42,546.46,154.35,58.75,14.43,35.28,0.56,0.66,5.79,-26.28,,3674.79,4.67,4.07,5.06,8.75
WFHG,World Financial Holding Group,125.0,USD,OTC,-11.35,7938552856.0,USD,,0.0,1150.0,1675.57,1586.91,1586.89,1584.64,28.28,10.19,19.78,-352.48,-44.18,27.49,,,4849.36,5.85,2.78,12.27,8.63
TERA,Tera Yatirim Menkul Degerler AS,865.0,TRY,BIST,-1.7,3251556000.0,USD,7.41,0.0,23490.93,3489.21,1093.1,105.95,29.1,735.88,283.67,671.95,-0.25,1.16,36.27,182.96,,4688.27,5.69,2.59,3.05,8.28
TEHOL,Tera Yatirim Teknoloji Holding A.S.,62.85,TRY,BIST,0.4,1471394060.19,USD,42.29,0.0,20750.59,3877.85,183.11,294.29,83.02,45.77,19.49,35.87,-0.16,-0.21,3.13,52.73,,4355.25,5.36,2.35,3.22,7.7
QBTS,D-Wave Quantum Inc.,38.33,USD,NYSE,-5.26,13109564502.0,USD,,0.0,273.95,3482.24,488.79,103.34,101.95,32.32,13.87,23.35,1.48,2.07,3.97,-83.7,-18.66,4074.37,5.07,2.33,2.76,7.4
ABVX,Abivax SA,78.5,EUR,EURONEXT,-3.21,7138543895.07,USD,,0.0,292.89,769.32,1406.72,794.08,12.63,74.79,25.74,70.4,1.29,1.36,3.82,,,2970.12,3.97,2.91,3.05,6.88
SUPX,SuperX AI Technology Limited,59.02,USD,NASDAQ,-4.28,1587258060.0,USD,,0.0,1375.5,985.19,468.59,471.35,7.31,62.75,19.74,52.59,-4.77,-0.7,7.78,,,1925.12,2.93,3.18,2.99,6.1
PEKGY,Peker Gayrimenkul Yatirim Ortakligi AS,10.69,TRY,BIST,2.69,1253936950.78,USD,384.53,0.0,2075.39,1146.16,831.25,300.37,48.47,8.96,3.26,8.21,1.14,0.61,0.59,2.56,,2277.78,3.28,2.75,3.28,6.03
IREN,IREN Limited,60.72,USD,NASDAQ,-1.8,16463510960.0,USD,100.25,0.0,116.86,553.61,1012.09,228.75,69.82,53.45,17.12,37.31,4.2,2.41,5.81,11.55,1.04,1794.44,2.79,3.12,3.55,5.92
ONDS,Ondas Holdings Inc.,7.61,USD,NASDAQ,-7.2,2657175953.0,USD,,0.0,-36.58,724.13,762.62,213.17,25.58,8.85,2.76,6.62,2.17,1.84,1.07,-81.2,-44.5,1699.91,2.7,3.2,2.75,5.9
ORBS,Eightco Holdings Inc.,8.66,USD,NASDAQ,1.52,1571573525.0,USD,,0.0,-99.74,262.34,701.85,536.76,-24.63,10.35,3.21,8.67,2.9,5.8,2.55,-87.24,-30.11,1500.96,2.5,3.23,2.7,5.73
UAMY,United States Antimony Corporation,11.19,USD,AMEX,-10.91,1554049268.0,USD,,0.0,2796.71,1503.15,218.8,190.65,109.94,9.33,3.46,6.56,-0.1,1.66,1.78,-3.27,-5.17,1912.6,2.91,2.69,3.23,5.61
NANO,Nanobiotix SA,22.3,EUR,EURONEXT,-6.11,1248803131.75,USD,,0.0,255.1,415.01,643.33,387.43,160.82,17.87,5.79,12.0,1.64,1.59,1.95,,,1445.78,2.45,3.08,3.85,5.53
OPEN,Opendoor Technologies Inc,7.16,USD,NASDAQ,0.7,5269431692.0,USD,,0.0,-71.13,272.92,676.66,288.08,-20.53,8.14,2.51,6.53,3.6,2.12,0.89,-41.33,,1237.65,2.24,3.25,2.86,5.48
MVST,"Microvast Holdings, Inc.",5.83,USD,NASDAQ,-8.91,1896814530.0,USD,,0.0,-42.84,2462.64,253.33,84.49,80.78,4.57,2.76,3.56,3.23,-2.4,0.52,-33.65,8.16,2800.46,3.8,1.65,2.11,5.45
BE,Bloom Energy Corporation,111.5,USD,NYSE,-3.12,26090773720.0,USD,23723.4,0.0,474.15,969.03,526.76,356.22,51.19,89.75,34.48,68.86,3.48,2.12,9.02,4.65,5.36,1852.01,2.85,2.6,3.23,5.45
QURE,uniQure N.V.,58.0,USD,NASDAQ,-3.32,3573018730.0,USD,,0.0,63.29,809.09,345.98,277.6,298.35,51.23,18.09,30.71,0.56,0.82,4.31,-427.47,-30.14,1432.68,2.43,2.83,3.21,5.27
OKLO,Oklo Inc.,163.39,USD,NYSE,0.77,24117865774.0,USD,,0.0,1533.9,898.72,644.03,143.21,71.48,138.77,56.79,102.58,0.71,2.69,15.18,-11.34,-14.45,1685.96,2.69,2.44,2.88,5.13
QUBT,Quantum Computing Inc.,18.33,USD,NASDAQ,-2.19,3425371188.0,USD,,0.0,358.25,2283.62,186.41,-7.49,9.56,20.7,12.98,17.85,3.86,1.54,2.38,-32.63,-13.25,2462.53,3.46,1.59,1.41,5.06
BMNR,"BitMine Immersion Technologies, Inc.",49.85,USD,AMEX,-2.41,14194403698.0,USD,,0.0,61.85,1289.35,523.12,6.0,-10.98,54.86,24.56,52.64,1.54,14.81,4.77,-95.27,-71.85,1818.47,2.82,2.23,2.03,5.05
CRML,Critical Metals Corp.,20.86,USD,NASDAQ,7.42,2229940463.0,USD,,0.0,113.95,193.8,806.96,372.48,225.94,12.2,4.62,8.59,1.2,0.23,3.59,-128.3,-87.53,1373.24,2.37,2.64,4.52,5.01
TMQ,Trilogy Metals Inc.,9.05,CAD,TSX,-9.05,1057567353.8,USD,,0.0,286.75,1090.79,324.88,245.42,212.07,5.68,2.45,3.78,1.73,-1.85,1.53,-7.22,-5.98,1661.09,2.66,2.31,3.69,4.97
CIFR,Cipher Mining Inc.,18.76,USD,NASDAQ,0.21,7378045652.0,USD,,0.0,91.43,279.76,701.71,189.51,66.02,15.59,5.93,10.97,2.89,3.78,1.88,-21.39,-18.16,1170.97,2.17,2.63,3.16,4.8
YRM,Rosetti Marino S.p.A.,272.0,EUR,MIL,0.0,1207678896.81,USD,30.76,0.74,672.73,523.85,481.2,174.75,86.3,251.19,96.39,186.92,0.24,0.7,6.45,24.41,21.93,1179.8,2.18,2.61,2.82,4.79
APLD,Applied Digital Corporation,34.24,USD,NASDAQ,-6.55,9576445089.0,USD,,0.0,37952.05,319.09,758.15,198.52,78.89,27.84,11.43,21.01,6.6,3.03,3.16,-32.13,-7.75,1275.76,2.28,2.44,3.0,4.71
CDTX,"Cidara Therapeutics, Inc.",101.52,USD,NASDAQ,-0.49,2574349283.0,USD,,0.0,63.74,853.24,427.38,79.78,56.86,96.49,41.44,77.94,1.34,3.3,6.6,-37.05,-42.05,1360.39,2.36,2.33,2.45,4.69
AMPX,"Amprius Technologies, Inc.",11.84,USD,NYSE,-7.36,1480897919.0,USD,,0.0,31.41,757.97,428.57,40.12,29.4,12.18,5.12,9.61,2.87,2.22,1.36,-68.88,-43.88,1226.66,2.23,2.38,2.31,4.61
BITF,Bitfarms Ltd.,7.0,CAD,TSX,-5.53,2751061895.58,USD,,0.0,1958.82,166.16,508.7,369.8,82.29,5.07,2.03,3.35,4.43,2.84,0.77,-15.48,-17.17,1044.65,2.04,2.5,3.45,4.54
NKTR,Nektar Therapeutics,57.77,USD,NASDAQ,5.11,1098702905.0,USD,,0.0,-78.23,173.14,541.89,117.02,14.81,57.73,21.8,44.42,1.2,4.8,3.93,-440.8,-65.91,832.05,1.83,2.65,2.65,4.48
FORD,"Forward Industries, Inc.",21.75,USD,NASDAQ,-11.89,1838464748.0,USD,,0.0,45.0,530.43,294.74,136.67,-34.74,25.92,10.38,21.96,0.63,-1.46,3.49,-235.29,-107.4,961.84,1.96,2.5,2.1,4.46
KLRHO,KILER HOLDING A.S.,149.5,TRY,BIST,0.2,5699313750.0,USD,229.36,0.0,5149.3,459.93,428.27,114.49,60.32,125.77,54.54,92.8,0.03,0.69,10.01,4.56,9.9,1002.68,2.0,2.31,2.74,4.31
METC,"Ramaco Resources, Inc.",45.78,USD,NASDAQ,-7.48,2703857612.0,USD,,0.28,1372.03,315.43,380.38,101.94,80.45,39.44,16.17,30.96,1.4,1.82,4.19,-5.55,-3.26,797.75,1.8,2.44,2.83,4.24
NBIS,Nebius Group N.V.,113.44,USD,NASDAQ,-7.8,28489040516.0,USD,,0.0,89.86,373.85,432.08,107.58,23.75,118.44,51.01,93.38,1.19,2.69,8.96,4.95,-10.3,913.51,1.91,2.32,2.22,4.24
GRGD,Groupe Dynamite Inc.,67.63,CAD,TSX,2.44,4348620568.79,USD,,0.0,223.59,223.59,441.47,136.06,16.87,61.74,26.14,49.6,5.09,1.92,2.36,,,801.12,1.8,2.36,2.59,4.16
LEU,Centrus Energy Corp.,380.18,USD,AMEX,-8.49,6922257139.0,USD,62.46,0.0,3548.56,352.6,480.69,59.07,63.17,347.62,153.89,265.5,1.52,1.65,36.35,48.11,16.52,892.36,1.89,2.26,2.47,4.15
NVTS,Navitas Semiconductor Corporation,14.66,USD,NASDAQ,-6.21,3124152759.0,USD,,0.0,32.07,453.21,742.53,130.14,148.9,8.88,4.87,7.35,3.02,0.67,1.24,-32.05,-26.85,1325.88,2.33,1.82,3.01,4.15
CELC,Celcuity Inc.,51.96,USD,NASDAQ,-1.09,2204491919.0,USD,,0.0,827.84,225.97,422.74,275.16,-2.53,50.01,22.82,51.66,0.71,-0.01,3.39,-134.54,-70.38,923.87,1.92,2.19,2.28,4.12
PL,Planet Labs PBC,13.11,USD,NYSE,-0.91,4036870390.0,USD,,0.0,33.78,453.16,310.97,97.74,34.46,13.73,6.12,10.2,2.0,2.27,1.01,-19.9,-15.61,861.87,1.86,2.24,2.14,4.11
UUUU,Energy Fuels Inc,21.06,USD,AMEX,-2.9,4858013513.0,USD,,0.0,1161.08,213.39,328.92,132.71,53.16,18.53,7.65,14.3,1.79,0.78,2.42,-18.27,-16.15,675.02,1.68,2.42,2.75,4.1
RR,Richtech Robotics Inc.,5.44,USD,NASDAQ,-4.06,1078953826.0,USD,,0.0,8.8,655.45,186.32,166.67,40.57,5.5,2.64,3.91,-4.18,2.3,0.72,-26.25,-28.11,1008.43,2.01,2.08,2.06,4.09
